,№ п/п,Номер ТП,Адрес ТП,Вид ТП,Тип по размещению,Источник теплоснабжения,Административный округ (ТП),Муниципальный район,Дата ввода в эксплуатацию,Балансодержатель,Адрес строения,Тепловая нагрузка ГВС ср.,Тепловая нагрузка ГВС факт.,Тепловая нагрузка отопления строения,Тепловая нагрузка вентиляции строения,Диспетчеризация
565,566,04-05-0602/075,"2-я Парковая ул., д.13, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Измайлово,1960-01-01,ПАО «МОЭК»,"Первомайская ул., д.26",0.06,0.132,0.16,0.0,да
566,567,04-05-0602/075,"2-я Парковая ул., д.13, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Измайлово,1960-01-01,ПАО «МОЭК»,"1-я Парковая ул., д.10, стр.1",0.0001,0.00035,0.0157,0.0,да
567,568,04-01-0611/025,"Миллионная ул., д.11, корп.2, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Богородское,2006-08-01,ПАО «МОЭК»,"2-й Богатырский пер., д.8",0.0,0.0,0.07,0.0,да
568,569,04-01-0611/025,"Миллионная ул., д.11, корп.2, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Богородское,2006-08-01,ПАО «МОЭК»,"Миллионная ул., д.5/7",0.0,0.0,0.0,0.0,да
569,570,04-01-0611/025,"Миллионная ул., д.11, корп.2, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Богородское,2006-08-01,ПАО «МОЭК»,"Краснобогатырская ул., д.13А",0.0,0.0,0.08,0.0,да
570,571,04-01-0611/025,"Миллионная ул., д.11, корп.2, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Богородское,2006-08-01,ПАО «МОЭК»,"3-я Богатырская ул., д.5",0.064,0.224,0.1935,0.1422,да
571,572,04-01-0611/025,"Миллионная ул., д.11, корп.2, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Богородское,2006-08-01,ПАО «МОЭК»,"Миллионная ул., д.5, корп.1",0.082857,0.2899995,0.161823,0.573259,да
572,573,04-05-0604/031,"Первомайская ул., д.65, стр.3",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Измайлово,1976-01-01,ПАО «МОЭК»,"Первомайская ул., д.61/8",0.18,0.43643,0.68,0.0,да
573,574,04-05-0604/031,"Первомайская ул., д.65, стр.3",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Измайлово,1976-01-01,ПАО «МОЭК»,"Первомайская ул., д.65",0.08,0.28,0.18,0.92,да
574,575,04-05-0604/031,"Первомайская ул., д.65, стр.3",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Измайлово,1976-01-01,ПАО «МОЭК»,"7-я Парковая ул., д.10, корп.1",0.04,0.14,0.15,0.02,да
575,576,04-10-012,"Святоозерская ул., д.8, стр.1",ЦТП,Отдельно стоящий,РТС Перово,Восточный,район Косино-Ухтомский,2006-05-23,ПАО «МОЭК»,"Святоозерская ул., д.8",0.37566,0.8586283,0.925003,0.0,нет
576,577,04-10-012,"Святоозерская ул., д.8, стр.1",ЦТП,Отдельно стоящий,РТС Перово,Восточный,район Косино-Ухтомский,2006-05-23,ПАО «МОЭК»,"Святоозерская ул., д.6",0.098333,0.3441655,0.097,0.1,нет
577,578,04-06-0601/102,"13-я Парковая ул., д.34, корп.1, стр.1",ЦТП,Пристроенное,ТЭЦ №23,Восточный,район Северное Измайлово,1970-01-01,ПАО «МОЭК»,"13-я Парковая ул., д.34, корп.2",0.135,0.297,0.26,0.0,да
578,579,04-06-0601/102,"13-я Парковая ул., д.34, корп.1, стр.1",ЦТП,Пристроенное,ТЭЦ №23,Восточный,район Северное Измайлово,1970-01-01,ПАО «МОЭК»,"13-я Парковая ул., д.34, корп.1",0.135,0.297,0.26,0.0,да
579,580,04-10-098,"Лухмановская ул., д.33, стр.2",ЦТП,Отдельно стоящий,РТС Перово,Восточный,район Косино-Ухтомский,2007-01-15,ПАО «МОЭК»,"Лухмановская ул., д.33",0.446289,0.9999981,1.541015,0.0,нет
580,581,04-10-098,"Лухмановская ул., д.33, стр.2",ЦТП,Отдельно стоящий,РТС Перово,Восточный,район Косино-Ухтомский,2007-01-15,ПАО «МОЭК»,"Лухмановская ул., д.35",0.564869,1.2519964,1.046,0.0,нет
581,582,04-06-0603/019,"3-я Парковая ул., д.56/28",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Северное Измайлово,1995-01-01,ПАО «МОЭК»,"3-я Парковая ул., д.54А",0.02,0.07,0.07,0.0,да
582,583,04-06-0603/019,"3-я Парковая ул., д.56/28",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Северное Измайлово,1995-01-01,ПАО «МОЭК»,"3-я Парковая ул., д.54, корп.2",0.115,0.253,0.232,0.0,да
583,584,04-06-0603/019,"3-я Парковая ул., д.56/28",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Северное Измайлово,1995-01-01,ПАО «МОЭК»,"Щёлковское шоссе, д.30",0.0144,0.0504,0.0311,0.0,да
584,585,04-06-0603/019,"3-я Парковая ул., д.56/28",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Северное Измайлово,1995-01-01,ПАО «МОЭК»,"3-я Парковая ул., д.56/28",0.115,0.253,0.232,0.0,да
585,586,04-06-0603/019,"3-я Парковая ул., д.56/28",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Северное Измайлово,1995-01-01,ПАО «МОЭК»,"3-я Парковая ул., д.52, корп.2",0.115,0.253,0.232,0.0,да
586,587,04-06-0603/019,"3-я Парковая ул., д.56/28",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Северное Измайлово,1995-01-01,ПАО «МОЭК»,"3-я Парковая ул., д.54, корп.1",0.12,0.264,0.232,0.0,да
587,588,04-06-0603/019,"3-я Парковая ул., д.56/28",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Северное Измайлово,1995-01-01,ПАО «МОЭК»,"3-я Парковая ул., д.52, корп.1",0.115,0.253,0.232,0.0,да
588,589,04-10-025,"Святоозерская ул., д.16, стр.1",ЦТП,Отдельно стоящий,РТС Перово,Восточный,район Косино-Ухтомский,2006-02-01,ПАО «МОЭК»,"ул. Татьяны Макаровой, д.6",0.3991591,0.940875,1.374777,0.0,нет
589,590,04-10-025,"Святоозерская ул., д.16, стр.1",ЦТП,Отдельно стоящий,РТС Перово,Восточный,район Косино-Ухтомский,2006-02-01,ПАО «МОЭК»,"ул. Татьяны Макаровой, д.12",0.098433,0.3445155,0.109,0.106,нет
590,591,04-10-025,"Святоозерская ул., д.16, стр.1",ЦТП,Отдельно стоящий,РТС Перово,Восточный,район Косино-Ухтомский,2006-02-01,ПАО «МОЭК»,"Святоозерская ул., д.14",0.453095,1.0106475,1.908051,0.0,нет
591,592,04-04-0212/044,"Реутовская ул., д.10Б, стр.1",ЦТП,Подвальное,ТЭЦ №22,Восточный,район Вешняки,1970-01-01,ПАО «МОЭК»,"Реутовская ул., д.10Б",0.04,0.14,0.08,0.13,да
592,593,04-04-0212/044,"Реутовская ул., д.10Б, стр.1",ЦТП,Подвальное,ТЭЦ №22,Восточный,район Вешняки,1970-01-01,ПАО «МОЭК»,"Реутовская ул., д.10А",0.01,0.035,0.09,0.15,да
593,594,04-04-0212/044,"Реутовская ул., д.10Б, стр.1",ЦТП,Подвальное,ТЭЦ №22,Восточный,район Вешняки,1970-01-01,ПАО «МОЭК»,"Реутовская ул., д.10Д",0.01,0.035,0.07,0.07,да
594,595,04-04-0212/044,"Реутовская ул., д.10Б, стр.1",ЦТП,Подвальное,ТЭЦ №22,Восточный,район Вешняки,1970-01-01,ПАО «МОЭК»,"Реутовская ул., д.10Б, стр.1",0.13,0.455,0.03,0.27,да
595,596,04-04-0212/044,"Реутовская ул., д.10Б, стр.1",ЦТП,Подвальное,ТЭЦ №22,Восточный,район Вешняки,1970-01-01,ПАО «МОЭК»,"Реутовская ул., д.10Г",0.0,0.0,0.0,0.0,да
596,597,04-06-0601/007,"Уральская ул., д.6, корп.5, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Гольяново,1964-01-01,ПАО «МОЭК»,"Уральская ул., д.6, корп.1",0.5212,1.2002,1.9225,0.162,да
597,598,04-06-0601/007,"Уральская ул., д.6, корп.5, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Гольяново,1964-01-01,ПАО «МОЭК»,"Уральская ул., д.6, корп.3",0.16,0.352,0.315,0.0,да
598,599,04-06-0601/007,"Уральская ул., д.6, корп.5, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Гольяново,1964-01-01,ПАО «МОЭК»,"Уральская ул., д.6, корп.6",0.16,0.352,0.315,0.0,да
599,600,04-06-0601/007,"Уральская ул., д.6, корп.5, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Гольяново,1964-01-01,ПАО «МОЭК»,"Уральская ул., д.6, корп.4",0.16,0.352,0.315,0.0,да
600,601,04-06-0601/007,"Уральская ул., д.6, корп.5, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Гольяново,1964-01-01,ПАО «МОЭК»,"Уральская ул., д.6, корп.2",0.16,0.352,0.315,0.0,да
601,602,04-06-0601/007,"Уральская ул., д.6, корп.5, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Гольяново,1964-01-01,ПАО «МОЭК»,"Уральская ул., д.6, корп.5",0.16,0.352,0.315,0.0,да
602,603,04-06-0601/007,"Уральская ул., д.6, корп.5, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Гольяново,1964-01-01,ПАО «МОЭК»,"Уральская ул., д.8",0.2223,0.54405,0.456,0.148,да
603,604,04-06-0601/007,"Уральская ул., д.6, корп.5, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Гольяново,1964-01-01,ПАО «МОЭК»,"Уральская ул., д.6",0.05,0.175,0.16,0.02,да
604,605,04-05-0604/182,"7-я Парковая ул., д.21",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Измайлово,1962-01-01,ПАО «МОЭК»,"7-я Парковая ул., д.21",0.0007,0.00245,0.01,0.0,да
605,606,04-05-0604/182,"7-я Парковая ул., д.21",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Измайлово,1962-01-01,ПАО «МОЭК»,"7-я Парковая ул., д.21А",0.0,0.0,0.0,0.0,да
606,607,04-05-0604/182,"7-я Парковая ул., д.21",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Измайлово,1962-01-01,ПАО «МОЭК»,"Верхняя Первомайская ул., д.37",0.0452,0.1283,0.2545,0.0,да
607,608,04-05-0604/182,"7-я Парковая ул., д.21",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Измайлово,1962-01-01,ПАО «МОЭК»,"7-я Парковая ул., д.19",0.0,0.0,0.0,0.0,да
608,609,04-05-0604/182,"7-я Парковая ул., д.21",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Измайлово,1962-01-01,ПАО «МОЭК»,"Верхняя Первомайская ул., д.39",0.091,0.2002,0.165,0.0,да
609,610,04-04-0212/027,"Реутовская ул., д.8, корп.1, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Вешняки,1971-01-01,ПАО «МОЭК»,"Реутовская ул., д.6, корп.1",0.18,0.396,0.5,0.0,да
610,611,04-04-0212/027,"Реутовская ул., д.8, корп.1, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Вешняки,1971-01-01,ПАО «МОЭК»,"Реутовская ул., д.6А",0.07,0.245,0.22,0.05,да
611,612,04-04-0212/027,"Реутовская ул., д.8, корп.1, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Вешняки,1971-01-01,ПАО «МОЭК»,"Реутовская ул., д.6, корп.2",0.18,0.39626,0.5,0.0,да
612,613,04-04-0212/027,"Реутовская ул., д.8, корп.1, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Вешняки,1971-01-01,ПАО «МОЭК»,"Реутовская ул., д.8, корп.1",0.27,0.594,0.67,0.0,да
613,614,04-04-0212/027,"Реутовская ул., д.8, корп.1, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Вешняки,1971-01-01,ПАО «МОЭК»,"Реутовская ул., д.10",0.15,0.33065,0.34,0.0,да
614,615,04-02-0609/006,"Мироновская ул., д.44А",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Соколиная Гора,1956-01-01,ПАО «МОЭК»,"Борисовская ул., д.25А",0.0,0.0,0.08,0.0,да
615,616,04-02-0609/006,"Мироновская ул., д.44А",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Соколиная Гора,1956-01-01,ПАО «МОЭК»,"Борисовская ул., д.27",0.0,0.0,0.11,0.0,да
616,617,04-02-0609/006,"Мироновская ул., д.44А",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Соколиная Гора,1956-01-01,ПАО «МОЭК»,"Мироновская ул., д.44А",0.0,0.0,0.09,0.0,да
617,618,04-02-0609/006,"Мироновская ул., д.44А",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Соколиная Гора,1956-01-01,ПАО «МОЭК»,"Мироновская ул., д.44",0.0,0.0,0.11,0.0,да
618,619,04-01-0607/039,"3-й пр. Подбельского, д.18Б",ИТП,Подвальное,ТЭЦ №23,Восточный,район Богородское,1945-05-09,ПАО «МОЭК»,"3-й пр. Подбельского, д.18Б",0.0,0.0,0.34,0.0,да
619,620,04-04-0223/043,"Свободный просп., д.21/2, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Новогиреево,1984-01-01,ПАО «МОЭК»,"Сапёрный пр., д.9",0.3,0.66013,0.79,0.0,да
620,621,04-04-0223/043,"Свободный просп., д.21/2, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Новогиреево,1984-01-01,ПАО «МОЭК»,"Напольный пр., д.6",0.39,0.85826,1.05,0.0,да
621,622,04-04-0223/043,"Свободный просп., д.21/2, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Новогиреево,1984-01-01,ПАО «МОЭК»,"Свободный просп., д.21/2",0.29,0.666418,1.14,0.18,да
622,623,04-04-0223/043,"Свободный просп., д.21/2, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Новогиреево,1984-01-01,ПАО «МОЭК»,"Напольный пр., д.4",0.01,0.035,0.11,0.34,да
623,624,04-04-0223/043,"Свободный просп., д.21/2, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Новогиреево,1984-01-01,ПАО «МОЭК»,"Напольный пр., д.6А",0.01,0.035,0.04,0.0,да
624,625,04-01-0614/029,"Большая Черкизовская ул., д.15, стр.2",ИТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Преображенское,1994-01-01,ПАО «МОЭК»,"Большая Черкизовская ул., д.15",0.408,1.428,1.01,0.885,да
625,626,04-01-0607/016,"Большая Черкизовская ул., д.6, корп.7, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Преображенское,1966-01-01,ПАО «МОЭК»,"Большая Черкизовская ул., д.8",0.05,0.175,0.11,0.02,да
626,627,04-01-0607/016,"Большая Черкизовская ул., д.6, корп.7, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Преображенское,1966-01-01,ПАО «МОЭК»,"Большая Черкизовская ул., д.6, корп.8",0.13,0.286,0.26,0.0,да
627,628,04-01-0607/016,"Большая Черкизовская ул., д.6, корп.7, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Преображенское,1966-01-01,ПАО «МОЭК»,"2-я Пугачёвская ул., д.8, корп.4",0.15,0.33,0.2,0.0,да
628,629,04-01-0607/016,"Большая Черкизовская ул., д.6, корп.7, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Преображенское,1966-01-01,ПАО «МОЭК»,"2-я Пугачёвская ул., д.8, корп.6",0.12,0.264,0.27,0.0,да
629,630,04-01-0607/016,"Большая Черкизовская ул., д.6, корп.7, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Преображенское,1966-01-01,ПАО «МОЭК»,"Большая Черкизовская ул., д.6, корп.7",0.13,0.286,0.26,0.0,да
630,631,04-01-0607/016,"Большая Черкизовская ул., д.6, корп.7, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Преображенское,1966-01-01,ПАО «МОЭК»,"Большая Черкизовская ул., д.6, корп.6",0.1232,0.2752,0.309,0.0,да
631,632,04-01-0607/016,"Большая Черкизовская ул., д.6, корп.7, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Преображенское,1966-01-01,ПАО «МОЭК»,"2-я Пугачёвская ул., д.8, корп.5",0.25,0.55,0.57,0.0,да
632,633,04-04-0223/022,"Федеративный просп., д.27",ИТП,Подвальное,ТЭЦ №22,Восточный,район Новогиреево,1990-01-01,ПАО «МОЭК»,"Федеративный просп., д.27",0.04,0.14,0.37,1.28,да
633,634,04-03-0209/080,"Новогиреевская ул., д.4, корп.2",ИТП,Подвальное,ТЭЦ №22,Восточный,район Перово,1960-01-01,ПАО «МОЭК»,"Новогиреевская ул., д.4, корп.2",0.19,0.418,0.33,0.0,да
634,635,04-06-0601/063,"Щёлковское шоссе, д.91, корп.1, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Гольяново,1976-01-01,ПАО «МОЭК»,"Новосибирская ул., д.4",0.156,0.364,0.645,0.0,да
635,636,04-06-0601/063,"Щёлковское шоссе, д.91, корп.1, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Гольяново,1976-01-01,ПАО «МОЭК»,"Щёлковское шоссе, д.89/2",0.17,0.3870806,0.65,0.0,да
636,637,04-06-0601/063,"Щёлковское шоссе, д.91, корп.1, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Гольяново,1976-01-01,ПАО «МОЭК»,"Щёлковское шоссе, д.91",0.05,0.175,0.22,0.03,да
637,638,04-06-0601/063,"Щёлковское шоссе, д.91, корп.1, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Гольяново,1976-01-01,ПАО «МОЭК»,"Щёлковское шоссе, д.91, корп.1",0.1489,0.33564,0.6508,0.099,да
638,639,04-06-0601/063,"Щёлковское шоссе, д.91, корп.1, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Гольяново,1976-01-01,ПАО «МОЭК»,"Щёлковское шоссе, д.91, корп.2",0.205,0.47505,0.43,0.0,да
639,640,04-01-0610/020,"Ивантеевская ул., д.10, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Богородское,1995-01-01,ПАО «МОЭК»,"Ивантеевская ул., д.10",0.34,0.7482574,0.79,0.0,да
640,641,04-01-0610/020,"Ивантеевская ул., д.10, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Богородское,1995-01-01,ПАО «МОЭК»,"Погонный пр., д.48",0.08,0.176,0.17,0.0,да
641,642,04-01-0610/020,"Ивантеевская ул., д.10, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Богородское,1995-01-01,ПАО «МОЭК»,"Погонный пр., д.50",0.08,0.176,0.16,0.0,да
642,643,04-01-0610/020,"Ивантеевская ул., д.10, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Богородское,1995-01-01,ПАО «МОЭК»,"Ивантеевская ул., д.6",0.13,0.286,0.21,0.0,да
643,644,04-01-0610/020,"Ивантеевская ул., д.10, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Богородское,1995-01-01,ПАО «МОЭК»,"Ивантеевская ул., д.8",0.13,0.286,0.26,0.0,да
644,645,04-01-0610/020,"Ивантеевская ул., д.10, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Богородское,1995-01-01,ПАО «МОЭК»,"бульв. Маршала Рокоссовского, д.32",0.13,0.286,0.3,0.0,да
645,646,04-01-0610/020,"Ивантеевская ул., д.10, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Богородское,1995-01-01,ПАО «МОЭК»,"Погонный пр., д.33",0.21,0.462,0.49,0.0,да
646,647,04-01-0610/020,"Ивантеевская ул., д.10, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Богородское,1995-01-01,ПАО «МОЭК»,"бульв. Маршала Рокоссовского, д.30",0.17,0.39142,0.42,0.0,да
647,648,04-01-0610/020,"Ивантеевская ул., д.10, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Богородское,1995-01-01,ПАО «МОЭК»,"Погонный пр., д.27",0.05,0.175,0.21,0.05,да
648,649,04-01-0610/020,"Ивантеевская ул., д.10, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Богородское,1995-01-01,ПАО «МОЭК»,"1-й пр. Подбельского, д.14",0.0,0.0,0.0,0.0,да
649,650,04-01-0610/020,"Ивантеевская ул., д.10, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Богородское,1995-01-01,ПАО «МОЭК»,"Погонный пр., д.52",0.1,0.22,0.2,0.0,да
650,651,04-03-0223/017,"Новогиреевская ул., д.30",ИТП,Подвальное,ТЭЦ №22,Восточный,район Перово,2003-01-01,ПАО «МОЭК»,"Новогиреевская ул., д.30",0.215,0.473,0.3933,0.0,да
651,652,04-05-0602/019-4,"3-я Парковая ул., д.34",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Измайлово,1968-01-01,ПАО «МОЭК»,"Верхняя Первомайская ул., д.21",0.11,0.242195,0.2773,0.0,да
652,653,04-05-0602/019-4,"3-я Парковая ул., д.34",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Измайлово,1968-01-01,ПАО «МОЭК»,"Верхняя Первомайская ул., д.19",0.11,0.24226,0.2773,0.0,да
653,654,04-05-0602/019-4,"3-я Парковая ул., д.34",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Измайлово,1968-01-01,ПАО «МОЭК»,"3-я Парковая ул., д.34",0.11,0.242,0.2774,0.0,да
654,655,04-06-0601/054-5,"ул. 9 Мая, д.13",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Восточный,1995-01-01,ПАО «МОЭК»,"ул. 9 Мая, д.16",0.10587,0.370545,0.3835,0.1422,нет
655,656,04-06-0601/054-5,"ул. 9 Мая, д.13",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Восточный,1995-01-01,ПАО «МОЭК»,"ул. 9 Мая, д.13",0.05,0.175,0.09,0.0,нет
656,657,04-02-0409/064,"ул. Уткина, д.39",ЦТП,Подвальное,ТЭЦ №11,Восточный,район Соколиная Гора,1960-01-01,ПАО «МОЭК»,"ул. Уткина, д.40А",0.01,0.035,0.058,0.0,да
657,658,04-02-0409/064,"ул. Уткина, д.39",ЦТП,Подвальное,ТЭЦ №11,Восточный,район Соколиная Гора,1960-01-01,ПАО «МОЭК»,"ул. Уткина, д.39А",0.06,0.135042,0.124,0.0,да
658,659,04-02-0409/064,"ул. Уткина, д.39",ЦТП,Подвальное,ТЭЦ №11,Восточный,район Соколиная Гора,1960-01-01,ПАО «МОЭК»,"ул. Уткина, д.39",0.114,0.2508,0.198,0.0,да
659,660,04-07-0615/026,"ул. Чечулина, д.5",ИТП,Подвальное,ТЭЦ №23,Восточный,район Ивановское,2007-10-01,ПАО «МОЭК»,"ул. Чечулина, д.5",0.17,0.595,0.53,0.96,нет
660,661,04-09-210,"Суздальская ул., д.14А, стр.1",ЦТП,Встроенное,РТС Перово,Восточный,район Новокосино,1991-01-01,ПАО «МОЭК»,"Суздальская ул., д.16, корп.2",0.13534,0.301141,0.50582,0.0,нет
661,662,04-09-210,"Суздальская ул., д.14А, стр.1",ЦТП,Встроенное,РТС Перово,Восточный,район Новокосино,1991-01-01,ПАО «МОЭК»,"Суздальская ул., д.14, корп.3",0.172863,0.3804754,0.4845,0.0,нет
662,663,04-09-210,"Суздальская ул., д.14А, стр.1",ЦТП,Встроенное,РТС Перово,Восточный,район Новокосино,1991-01-01,ПАО «МОЭК»,"Суздальская ул., д.16, корп.1",0.1727,0.37994,0.40068,0.0,нет
663,664,04-09-210,"Суздальская ул., д.14А, стр.1",ЦТП,Встроенное,РТС Перово,Восточный,район Новокосино,1991-01-01,ПАО «МОЭК»,"Суздальская ул., д.14, корп.1",0.412272,0.9070803,1.16646,0.0,нет
664,665,04-09-210,"Суздальская ул., д.14А, стр.1",ЦТП,Встроенное,РТС Перово,Восточный,район Новокосино,1991-01-01,ПАО «МОЭК»,"Суздальская ул., д.16Б",0.0,0.0,0.0,0.0,нет
665,666,04-09-210,"Суздальская ул., д.14А, стр.1",ЦТП,Встроенное,РТС Перово,Восточный,район Новокосино,1991-01-01,ПАО «МОЭК»,"Суздальская ул., д.12, корп.1",0.212571,0.4904985,0.49668,0.0,нет
666,667,04-09-210,"Суздальская ул., д.14А, стр.1",ЦТП,Встроенное,РТС Перово,Восточный,район Новокосино,1991-01-01,ПАО «МОЭК»,"Суздальская ул., д.12А",0.0171,0.05985,0.12,0.02,нет
667,668,04-09-210,"Суздальская ул., д.14А, стр.1",ЦТП,Встроенное,РТС Перово,Восточный,район Новокосино,1991-01-01,ПАО «МОЭК»,"Суздальская ул., д.12Б",0.003561,0.0124635,0.04545,0.0,нет
668,669,04-09-210,"Суздальская ул., д.14А, стр.1",ЦТП,Встроенное,РТС Перово,Восточный,район Новокосино,1991-01-01,ПАО «МОЭК»,"Суздальская ул., д.14А",0.02,0.07,0.0824,0.0,нет
669,670,04-09-210,"Суздальская ул., д.14А, стр.1",ЦТП,Встроенное,РТС Перово,Восточный,район Новокосино,1991-01-01,ПАО «МОЭК»,"Суздальская ул., д.16А",0.00571,0.019985,0.0511,0.105,нет
670,671,04-09-210,"Суздальская ул., д.14А, стр.1",ЦТП,Встроенное,РТС Перово,Восточный,район Новокосино,1991-01-01,ПАО «МОЭК»,"Суздальская ул., д.14, корп.2",0.172727,0.3799994,0.48278,0.0,нет
671,672,04-09-210,"Суздальская ул., д.14А, стр.1",ЦТП,Встроенное,РТС Перово,Восточный,район Новокосино,1991-01-01,ПАО «МОЭК»,"Суздальская ул., д.16, корп.3",0.126399,0.2780778,0.5314,0.0,нет
672,673,04-09-102,"Новокосинская ул., д.11А",ЦТП,Отдельно стоящий,РТС Перово,Восточный,район Новокосино,1997-01-01,ПАО «МОЭК»,"Суздальская ул., д.8, корп.4",0.183636,0.4039992,0.46178,0.0,нет
673,674,04-09-102,"Новокосинская ул., д.11А",ЦТП,Отдельно стоящий,РТС Перово,Восточный,район Новокосино,1997-01-01,ПАО «МОЭК»,"Новокосинская ул., д.11, корп.1",0.369183,0.830049,1.150582,0.0,нет
674,675,04-09-102,"Новокосинская ул., д.11А",ЦТП,Отдельно стоящий,РТС Перово,Восточный,район Новокосино,1997-01-01,ПАО «МОЭК»,"Новокосинская ул., д.13, корп.1",0.328399,0.7371301,1.07831,0.0,нет
675,676,04-09-102,"Новокосинская ул., д.11А",ЦТП,Отдельно стоящий,РТС Перово,Восточный,район Новокосино,1997-01-01,ПАО «МОЭК»,"Новокосинская ул., д.13А",0.19714,0.68999,1.0223,0.5462,нет
676,677,04-09-102,"Новокосинская ул., д.11А",ЦТП,Отдельно стоящий,РТС Перово,Восточный,район Новокосино,1997-01-01,ПАО «МОЭК»,"Новокосинская ул., д.11, корп.2",0.3063517,0.7761859,0.59836,0.059,нет
